Generated by http://statistics.gov.scot,2021-12-13T20:45:35+00:00
http://statistics.gov.scot/data/pupil-attainment,Pupil Attainment
measure type,Count
Reference Period,2012/2013
Number Of Awards,5
SCQF Level,6 And Above
Secondary School Stage,S6
Measure (cell values): ,Count(Pupils)

,,http://statistics.gov.scot/def/concept/gender/all,http://statistics.gov.scot/def/concept/gender/female,http://statistics.gov.scot/def/concept/gender/male
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,498,282,216
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,927,532,395
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,900,512,388
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,1400,777,623
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,3114,1756,1358
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,960,563,397
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,1863,1080,783
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,2112,1214,898
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,67,42,25
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,81,42,39
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,1085,652,433
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,75,46,29
http://statistics.gov.scot/id/statistical-geography/S13002537,Abbey,38,21,17
http://statistics.gov.scot/id/statistical-geography/S13002503,"Aboyne, Upper Deeside and Donside",55,27,28
http://statistics.gov.scot/id/statistical-geography/S13002715,"Abronhill, Kildrum and the Village",41,18,23
http://statistics.gov.scot/id/statistical-geography/S13002674,Aird and Loch Ness,45,24,21
http://statistics.gov.scot/id/statistical-geography/S13002719,Airdrie Central,33,21,12
http://statistics.gov.scot/id/statistical-geography/S13002718,Airdrie North,42,23,19
http://statistics.gov.scot/id/statistical-geography/S13002722,Airdrie South,48,29,19
http://statistics.gov.scot/id/statistical-geography/S13002486,Airyhall / Broomhill / Garthdee,31,14,17
http://statistics.gov.scot/id/statistical-geography/S13002583,Almond,92,51,41
http://statistics.gov.scot/id/statistical-geography/S13002746,Almond and Earn,31,20,11
http://statistics.gov.scot/id/statistical-geography/S13002608,An Taobh Siar agus Nis,6,4,2
http://statistics.gov.scot/id/statistical-geography/S13002650,Anderston / City,21,10,11
http://statistics.gov.scot/id/statistical-geography/S13002544,Annandale East and Eskdale,49,33,16
http://statistics.gov.scot/id/statistical-geography/S13002543,Annandale North,45,26,19
http://statistics.gov.scot/id/statistical-geography/S13002542,Annandale South,55,32,23
http://statistics.gov.scot/id/statistical-geography/S13002553,Annick,45,29,16
http://statistics.gov.scot/id/statistical-geography/S13002514,Arbroath East and Lunan,26,18,8
